,,,,,,
Zipcode,Latitude,Longitude,,,,
80002,39.794822,-105.105292,,,,
80003,39.825373,-105.063525,,,,
80004,39.817202,-105.123954,,,,
80005,39.851650,-105.131418,,,,
80007,39.862519,-105.192405,,,,
80010,39.739249,-104.862881,,,,
80011,39.738764,-104.782159,,,,
80012,39.699735,-104.837643,,,,
80013,39.661404,-104.765658,,,,
80014,39.663559,-104.838066,,,,
80015,39.627320,-104.779035,,,,
80016,39.599458,-104.707606,,,,
80017,39.697928,-104.785460,,,,
80018,39.688002,-104.689740,,,,
80019,39.786982,-104.702170,,,,
80020,39.930782,-105.074287,,,,
80021,39.890663,-105.113724,,,,
80022,39.879646,-104.798722,,,,
80023,39.975858,-105.009387,,,,
80024,39.843876,-104.917925,,,,
80025,39.939848,-105.283942,,,,
80026,40.012251,-105.099757,,,,
80027,39.950806,-105.159495,,,,
80030,39.830822,-105.037470,,,,
80031,39.873832,-105.038659,,,,
80033,39.772675,-105.104801,,,,
80045,39.747872,-104.838305,,,,
80101,39.365030,-104.019170,,,,
80102,39.745990,-104.442841,,,,
80103,39.780010,-104.142596,,,,
80104,39.276134,-104.832238,,,,
80105,39.667581,-103.969401,,,,
80106,39.186147,-104.515915,,,,
80107,39.409358,-104.572571,,,,
80108,39.445520,-104.853001,,,,
80109,39.364264,-104.901376,,,,
80110,39.645936,-105.011368,,,,
80111,39.613005,-104.877957,,,,
80112,39.576926,-104.857826,,,,
80113,39.644445,-104.965111,,,,
80116,39.320019,-104.709712,,,,
80117,39.369612,-104.342901,,,,
80118,39.192431,-104.905265,,,,
80120,39.593836,-105.011460,,,,
80121,39.610714,-104.949039,,,,
80122,39.580309,-104.954917,,,,
80123,39.616010,-105.069449,,,,
80124,39.532889,-104.891089,,,,
80125,39.485069,-105.052316,,,,
80126,39.540572,-104.958557,,,,
80127,39.530726,-105.164344,,,,
80128,39.563846,-105.079066,,,,
80129,39.545535,-105.010351,,,,
80130,39.530958,-104.923416,,,,
80131,39.476440,-105.007544,,,,
80132,39.099410,-104.846530,,,,
80133,39.096847,-104.980513,,,,
80134,39.485499,-104.778638,,,,
80135,39.254744,-105.156973,,,,
80136,39.791978,-104.279929,,,,
80137,39.770328,-104.597351,,,,
80138,39.517532,-104.670911,,,,
80202,39.751907,-104.997633,,,,
80203,39.731686,-104.982650,,,,
80204,39.734837,-105.020395,,,,
80205,39.758857,-104.962829,,,,
80206,39.730282,-104.952592,,,,
80207,39.762298,-104.916613,,,,
80209,39.706581,-104.965750,,,,
80210,39.676626,-104.962315,,,,
80211,39.767444,-105.019736,,,,
80212,39.772047,-105.048027,,,,
80214,39.743312,-105.069025,,,,
80215,39.744773,-105.115977,,,,
80216,39.788551,-104.956478,,,,
80218,39.731085,-104.970674,,,,
80219,39.695293,-105.035601,,,,
80220,39.733819,-104.916570,,,,
80221,39.817067,-105.011035,,,,
80222,39.671019,-104.927895,,,,
80223,39.695794,-105.003843,,,,
80224,39.687746,-104.911338,,,,
80226,39.712845,-105.091519,,,,
80227,39.666287,-105.089746,,,,
80228,39.694990,-105.173144,,,,
80229,39.855318,-104.957119,,,,
80230,39.719464,-104.890279,,,,
80231,39.671420,-104.887802,,,,
80232,39.686866,-105.090234,,,,
80233,39.899671,-104.946561,,,,
80234,39.909992,-105.002643,,,,
80235,39.647607,-105.089482,,,,
80236,39.651675,-105.039569,,,,
80237,39.639871,-104.901711,,,,
80238,39.771649,-104.882471,,,,
80239,39.787628,-104.838551,,,,
80241,39.929518,-104.954808,,,,
80246,39.705197,-104.930842,,,,
80247,39.698327,-104.878815,,,,
80249,39.854746,-104.695804,,,,
80260,39.866918,-105.006059,,,,
80264,39.742477,-104.985482,,,,
80290,39.744092,-104.986754,,,,
80293,39.746253,-104.989935,,,,
80294,39.749452,-104.989270,,,,
80301,40.049468,-105.201421,,,,
80302,40.043465,-105.372324,,,,
80303,39.973222,-105.209276,,,,
80304,40.045421,-105.291263,,,,
80305,39.975334,-105.248158,,,,
80310,40.002148,-105.263655,,,,
80401,39.718726,-105.236031,,,,
80403,39.836967,-105.299574,,,,
80419,39.728399,-105.202805,,,,
80420,39.324723,-106.116757,,,,
80421,39.460932,-105.501199,,,,
80422,39.870497,-105.528825,,,,
80423,39.884824,-106.586734,,,,
80424,39.473301,-106.004254,,,,
80425,39.350155,-105.205591,,,,
80426,39.912085,-107.000453,,,,
80427,39.780281,-105.494960,,,,
80428,40.843694,-106.925249,,,,
80432,39.222372,-105.796893,,,,
80433,39.477721,-105.262386,,,,
80434,40.843252,-106.286789,,,,
80435,39.573695,-105.934609,,,,
80436,39.780974,-105.640117,,,,
80438,39.744391,-105.794123,,,,
80439,39.634422,-105.440245,,,,
80440,39.228920,-105.969828,,,,
80442,39.924007,-105.889416,,,,
